time_s,rpm,rpm_raw,engine_state,throttle_gas_pct,brake,ignition,gear_selector,gear_auto,gear_physical,clutch_pressure,road_implied_rpm,creep_relief_fired,vehicle_speed_kmh,target_speed_kmh,sim_speed_mph,engine_torque_nm,drivetrain_torque_nm,dyno_torque_nm,starter_engaged,exhaust_flow_cm3s,synth_out_rms
1.997,1020,967,Running,0,0.00,1,99,1,1,0.6000,-184.1,0,6.225,-2.000,3.868,26.4,-366.9,0.0,0,-15052.8709,-1.0000
2.016,1010,959,Running,0,0.00,1,99,1,1,0.6000,-184.1,0,6.256,-2.000,3.887,26.4,-365.8,0.0,0,38641.5084,-1.0000
2.033,1001,955,Running,0,0.00,1,99,1,1,0.6000,-184.1,0,6.287,-2.000,3.906,26.1,-359.3,0.0,0,24601.4936,-1.0000
2.049,994,950,Running,0,0.00,1,99,1,1,0.6000,-184.1,0,6.317,-2.000,3.925,26.1,-358.4,0.0,0,27507.7624,-1.0000
2.066,986,934,Running,0,0.00,1,99,1,1,0.6000,-184.1,0,6.346,-2.000,3.943,25.7,-350.7,0.0,0,24909.8717,-1.0000
2.083,975,873,Running,0,0.00,1,99,1,1,0.6000,-184.1,0,6.373,-2.000,3.960,24.1,-320.7,0.0,0,17018.1398,-1.0000
2.099,959,866,Running,5,0.00,1,99,1,1,0.6000,-184.1,0,6.397,-2.000,3.975,21.9,-283.1,0.0,0,-3787.5656,-1.0000
2.116,945,864,Running,5,0.00,1,99,1,1,0.6000,-184.1,0,6.421,-2.000,3.990,21.7,-278.8,0.0,0,18168.4361,-1.0000
2.133,933,870,Running,5,0.00,1,99,1,1,0.6000,-184.1,0,6.444,-2.000,4.004,21.6,-277.3,0.0,0,-19150.8408,-1.0000
2.149,923,867,Running,5,0.00,1,99,1,1,0.6000,-184.1,0,6.468,-2.000,4.019,21.7,-277.3,0.0,0,35496.2293,-1.0000
2.166,914,873,Running,5,0.00,1,99,1,1,0.6000,-184.1,0,6.491,-2.000,4.033,21.5,-274.2,0.0,0,20095.6645,-1.0000
2.183,907,878,Running,5,0.00,1,99,1,1,0.6000,-184.1,0,6.514,-2.000,4.048,21.8,-277.6,0.0,0,24452.8377,-1.0000
2.199,902,872,Running,5,0.00,1,99,1,1,0.6000,-184.1,0,6.538,-2.000,4.062,21.8,-276.8,0.0,0,23251.6889,-1.0000
2.216,894,829,Running,5,0.00,1,99,1,1,0.6000,-184.1,0,6.560,-2.000,4.076,21.0,-264.1,0.0,0,34496.1414,-1.0000
2.233,880,811,Running,5,0.00,1,99,1,1,0.6000,-184.1,0,6.579,-2.000,4.088,18.5,-230.1,0.0,0,-28646.1574,-1.0000
2.249,868,812,Running,7,0.00,1,99,1,1,0.6000,-184.1,0,6.599,-2.000,4.100,18.5,-230.7,0.0,0,22655.6018,-1.0000
2.266,859,814,Running,8,0.00,1,99,1,1,0.6000,-184.1,0,6.619,-2.000,4.113,18.9,-235.1,0.0,0,-14579.2127,-1.0000
2.283,853,821,Running,8,0.00,1,99,1,1,0.6000,-184.1,0,6.639,-2.000,4.126,19.5,-243.7,0.0,0,17851.6577,-1.0000
2.299,850,824,Running,8,0.00,1,99,1,1,0.6000,-184.1,0,6.660,-2.000,4.139,19.9,-248.4,0.0,0,22216.6101,-1.0000
