timestamp_utc_ms,throttle_pct,speed_kmh,acceleration_g,brake_pct,steering_angle_deg,motor_rpm,motor_hv_voltage,motor_hv_current,gear_selector,motor_torque_nm
1781472547089,13.20,61.28,,2.00,4.60,,,,4097,-1410.00
1781472547092,13.20,61.28,,2.00,4.60,,,,4097,-1410.00
1781472547095,13.20,61.28,,2.00,4.60,,,,4097,-1410.00
1781472547095,13.20,61.28,,2.00,4.60,,,,4097,-1410.00
1781472547098,13.20,61.28,,2.00,4.60,,,,4097,-1410.00
1781472547101,13.20,61.28,,2.00,4.60,,,,4097,-1410.00
1781472547103,13.20,61.28,,2.00,4.60,,,,4097,-1410.00
1781472547106,13.20,61.28,,2.00,4.60,,,,4097,-1410.00
1781472547106,13.20,61.28,,2.00,4.60,,,,4097,-260.00
1781472547109,13.20,61.28,,2.00,4.60,,,,4097,-260.00
1781472547112,13.20,61.28,,2.00,4.60,,,,4097,-260.00
1781472547112,13.20,61.28,,2.00,4.60,,,,4097,-260.00
1781472547114,13.20,61.28,,2.00,4.60,,,,4097,-260.00
1781472547117,13.20,61.28,,2.00,4.60,,,,4097,-260.00
1781472547120,13.20,61.28,,2.00,4.60,,,,4097,-260.00
1781472547122,13.20,61.28,,2.00,4.60,,,,4097,-260.00
1781472547122,13.20,61.28,,2.00,4.60,,,,4097,-260.00
1781472547125,13.20,61.28,,2.00,4.60,,,,4097,-260.00
1781472547128,13.20,61.28,,2.00,4.60,,,,4097,-260.00
1781472547131,13.20,61.28,,2.00,4.60,,,,4097,-260.00
1781472547131,13.20,61.28,,2.00,4.60,,,,4097,-260.00
1781472547134,13.20,61.28,,2.00,4.60,,,,4097,-260.00
1781472547136,13.20,61.28,,2.00,4.60,,,,4097,-260.00
1781472547139,13.20,61.28,,2.00,4.60,,,,4097,-260.00
1781472547142,13.20,61.28,,2.00,4.60,,,,4097,-260.00
1781472547145,13.20,61.28,,2.00,4.60,,,,4097,-260.00
